INFO:     Started server process [2632]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-22 07:49:34,015 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=26.83399722&longitude=80.8917361&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=72&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:49:56,126 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/380/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,129 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/385/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,132 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/382/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,138 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/383/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,142 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/384/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,157 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235608/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,162 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235607/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A44.976011%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A44.976011%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,253 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/380/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,262 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/383/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:49:56,302 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/381/measurements/hourly?datetime_from=2026-07-15T02%3A19%3A34.364780%2B00%3A00&datetime_to=2026-07-22T02%3A19%3A34.364780%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
